vmax_kt,min_pressure_mb,lat,lon,month,month_sin,month_cos,abs_lat,pressure_deficit,dvmax_6h,dpres_6h,target
80.0,998.0,28.0,-94.8,6.0,1.2246467991473532e-16,-1.0,28.0,12.0,0.0,0.0,0.0
80.0,998.0,27.7,-94.7,6.0,1.2246467991473532e-16,-1.0,27.7,12.0,0.0,0.0,0.0
80.0,998.0,28.0,-95.4,6.0,1.2246467991473532e-16,-1.0,28.0,12.0,0.0,0.0,0.0
80.0,998.0,27.9,-95.4,6.0,1.2246467991473532e-16,-1.0,27.9,12.0,0.0,0.0,0.0
80.0,998.0,28.0,-96.0,6.0,1.2246467991473532e-16,-1.0,28.0,12.0,0.0,0.0,0.0
80.0,998.0,28.0,-96.0,6.0,1.2246467991473532e-16,-1.0,28.0,12.0,0.0,0.0,0.0
80.0,998.0,28.1,-96.5,6.0,1.2246467991473532e-16,-1.0,28.1,12.0,0.0,0.0,0.0
80.0,998.0,28.2,-96.8,6.0,1.2246467991473532e-16,-1.0,28.2,12.0,0.0,0.0,0.0
70.0,998.0,28.2,-97.0,6.0,1.2246467991473532e-16,-1.0,28.2,12.0,-20.0,0.0,0.0
65.0,998.0,28.2,-97.1,6.0,1.2246467991473532e-16,-1.0,28.2,12.0,-10.0,0.0,0.0
60.0,998.0,28.3,-97.6,6.0,1.2246467991473532e-16,-1.0,28.3,12.0,-10.0,0.0,0.0
60.0,998.0,28.4,-97.7,6.0,1.2246467991473532e-16,-1.0,28.4,12.0,0.0,0.0,0.0
60.0,998.0,28.4,-98.3,6.0,1.2246467991473532e-16,-1.0,28.4,12.0,0.0,0.0,0.0
55.0,998.0,28.5,-98.4,6.0,1.2246467991473532e-16,-1.0,28.5,12.0,-10.0,0.0,0.0
50.0,998.0,28.6,-98.9,6.0,1.2246467991473532e-16,-1.0,28.6,12.0,-10.0,0.0,0.0
50.0,998.0,28.8,-99.0,6.0,1.2246467991473532e-16,-1.0,28.8,12.0,0.0,0.0,0.0
50.0,998.0,29.0,-99.4,6.0,1.2246467991473532e-16,-1.0,29.0,12.0,0.0,0.0,0.0
45.0,998.0,29.2,-99.6,6.0,1.2246467991473532e-16,-1.0,29.2,12.0,-10.0,0.0,0.0
60.0,998.0,20.5,-67.1,8.0,-0.8660254037844384,-0.5000000000000004,20.5,12.0,0.0,0.0,0.0
60.0,998.0,20.7,-67.8,8.0,-0.8660254037844384,-0.5000000000000004,20.7,12.0,0.0,0.0,0.0
60.0,998.0,20.7,-68.0,8.0,-0.8660254037844384,-0.5000000000000004,20.7,12.0,0.0,0.0,0.0
60.0,998.0,20.9,-68.5,8.0,-0.8660254037844384,-0.5000000000000004,20.9,12.0,0.0,0.0,0.0
60.0,998.0,20.9,-68.8,8.0,-0.8660254037844384,-0.5000000000000004,20.9,12.0,0.0,0.0,0.0
60.0,998.0,21.1,-69.3,8.0,-0.8660254037844384,-0.5000000000000004,21.1,12.0,0.0,0.0,0.0
60.0,998.0,21.1,-69.6,8.0,-0.8660254037844384,-0.5000000000000004,21.1,12.0,0.0,0.0,0.0
65.0,998.0,21.3,-70.2,8.0,-0.8660254037844384,-0.5000000000000004,21.3,12.0,10.0,0.0,0.0
70.0,998.0,21.2,-70.6,8.0,-0.8660254037844384,-0.5000000000000004,21.2,12.0,10.0,0.0,0.0
70.0,998.0,21.5,-71.3,8.0,-0.8660254037844384,-0.5000000000000004,21.5,12.0,0.0,0.0,0.0
70.0,998.0,21.5,-71.9,8.0,-0.8660254037844384,-0.5000000000000004,21.5,12.0,0.0,0.0,0.0
70.0,998.0,21.7,-72.5,8.0,-0.8660254037844384,-0.5000000000000004,21.7,12.0,0.0,0.0,0.0
70.0,998.0,21.7,-73.0,8.0,-0.8660254037844384,-0.5000000000000004,21.7,12.0,0.0,0.0,0.0
70.0,998.0,21.9,-73.5,8.0,-0.8660254037844384,-0.5000000000000004,21.9,12.0,0.0,0.0,0.0
70.0,998.0,21.9,-74.0,8.0,-0.8660254037844384,-0.5000000000000004,21.9,12.0,0.0,0.0,0.0
75.0,998.0,22.1,-74.3,8.0,-0.8660254037844384,-0.5000000000000004,22.1,12.0,10.0,0.0,0.0
80.0,998.0,22.1,-74.9,8.0,-0.8660254037844384,-0.5000000000000004,22.1,12.0,10.0,0.0,0.0
80.0,998.0,22.3,-75.4,8.0,-0.8660254037844384,-0.5000000000000004,22.3,12.0,0.0,0.0,0.0
80.0,998.0,22.2,-76.1,8.0,-0.8660254037844384,-0.5000000000000004,22.2,12.0,0.0,0.0,0.0
80.0,998.0,22.5,-76.5,8.0,-0.8660254037844384,-0.5000000000000004,22.5,12.0,0.0,0.0,0.0
80.0,998.0,22.6,-77.1,8.0,-0.8660254037844384,-0.5000000000000004,22.6,12.0,0.0,0.0,0.0
80.0,998.0,22.8,-77.5,8.0,-0.8660254037844384,-0.5000000000000004,22.8,12.0,0.0,0.0,0.0
80.0,998.0,22.9,-78.1,8.0,-0.8660254037844384,-0.5000000000000004,22.9,12.0,0.0,0.0,0.0
85.0,998.0,23.0,-78.6,8.0,-0.8660254037844384,-0.5000000000000004,23.0,12.0,10.0,0.0,0.0
90.0,998.0,23.2,-79.3,8.0,-0.8660254037844384,-0.5000000000000004,23.2,12.0,10.0,0.0,0.0
90.0,998.0,23.3,-79.6,8.0,-0.8660254037844384,-0.5000000000000004,23.3,12.0,0.0,0.0,0.0
90.0,998.0,23.5,-80.1,8.0,-0.8660254037844384,-0.5000000000000004,23.5,12.0,0.0,0.0,0.0
90.0,998.0,23.6,-80.5,8.0,-0.8660254037844384,-0.5000000000000004,23.6,12.0,0.0,0.0,0.0
90.0,998.0,23.8,-81.1,8.0,-0.8660254037844384,-0.5000000000000004,23.8,12.0,0.0,0.0,0.0
90.0,998.0,23.8,-81.4,8.0,-0.8660254037844384,-0.5000000000000004,23.8,12.0,0.0,0.0,0.0
90.0,998.0,24.2,-82.1,8.0,-0.8660254037844384,-0.5000000000000004,24.2,12.0,0.0,0.0,0.0
90.0,998.0,24.2,-82.3,8.0,-0.8660254037844384,-0.5000000000000004,24.2,12.0,0.0,0.0,0.0
90.0,998.0,24.7,-83.1,8.0,-0.8660254037844384,-0.5000000000000004,24.7,12.0,0.0,0.0,0.0
90.0,998.0,24.6,-83.1,8.0,-0.8660254037844384,-0.5000000000000004,24.6,12.0,0.0,0.0,0.0
90.0,998.0,25.2,-83.9,8.0,-0.8660254037844384,-0.5000000000000004,25.2,12.0,0.0,0.0,0.0
90.0,998.0,25.0,-83.9,8.0,-0.8660254037844384,-0.5000000000000004,25.0,12.0,0.0,0.0,0.0
90.0,998.0,25.7,-84.6,8.0,-0.8660254037844384,-0.5000000000000004,25.7,12.0,0.0,0.0,0.0
90.0,998.0,25.4,-84.6,8.0,-0.8660254037844384,-0.5000000000000004,25.4,12.0,0.0,0.0,0.0
90.0,998.0,26.2,-85.3,8.0,-0.8660254037844384,-0.5000000000000004,26.2,12.0,0.0,0.0,0.0
95.0,998.0,25.9,-85.3,8.0,-0.8660254037844384,-0.5000000000000004,25.9,12.0,10.0,0.0,0.0
100.0,998.0,26.7,-86.0,8.0,-0.8660254037844384,-0.5000000000000004,26.7,12.0,10.0,0.0,0.0
100.0,998.0,26.4,-86.1,8.0,-0.8660254037844384,-0.5000000000000004,26.4,12.0,0.0,0.0,0.0
100.0,998.0,27.2,-86.6,8.0,-0.8660254037844384,-0.5000000000000004,27.2,12.0,0.0,0.0,0.0
100.0,998.0,26.9,-86.8,8.0,-0.8660254037844384,-0.5000000000000004,26.9,12.0,0.0,0.0,0.0
100.0,998.0,27.7,-87.1,8.0,-0.8660254037844384,-0.5000000000000004,27.7,12.0,0.0,0.0,0.0
100.0,998.0,27.4,-87.4,8.0,-0.8660254037844384,-0.5000000000000004,27.4,12.0,0.0,0.0,0.0
100.0,998.0,28.2,-87.5,8.0,-0.8660254037844384,-0.5000000000000004,28.2,12.0,0.0,0.0,0.0
100.0,998.0,27.9,-87.7,8.0,-0.8660254037844384,-0.5000000000000004,27.9,12.0,0.0,0.0,0.0
100.0,998.0,28.6,-87.8,8.0,-0.8660254037844384,-0.5000000000000004,28.6,12.0,0.0,0.0,0.0
100.0,998.0,28.3,-88.0,8.0,-0.8660254037844384,-0.5000000000000004,28.3,12.0,0.0,0.0,0.0
100.0,998.0,28.8,-88.0,8.0,-0.8660254037844384,-0.5000000000000004,28.8,12.0,0.0,0.0,0.0
100.0,998.0,28.6,-88.2,8.0,-0.8660254037844384,-0.5000000000000004,28.6,12.0,0.0,0.0,0.0
100.0,998.0,29.1,-88.2,8.0,-0.8660254037844384,-0.5000000000000004,29.1,12.0,0.0,0.0,0.0
100.0,998.0,29.0,-88.4,8.0,-0.8660254037844384,-0.5000000000000004,29.0,12.0,0.0,0.0,0.0
100.0,998.0,29.4,-88.4,8.0,-0.8660254037844384,-0.5000000000000004,29.4,12.0,0.0,0.0,0.0
100.0,998.0,29.5,-88.5,8.0,-0.8660254037844384,-0.5000000000000004,29.5,12.0,0.0,0.0,0.0
100.0,998.0,29.8,-88.6,8.0,-0.8660254037844384,-0.5000000000000004,29.8,12.0,0.0,0.0,0.0
100.0,998.0,29.9,-88.6,8.0,-0.8660254037844384,-0.5000000000000004,29.9,12.0,0.0,0.0,0.0
100.0,961.0,30.2,-88.6,8.0,-0.8660254037844384,-0.5000000000000004,30.2,49.0,0.0,0.0,0.0
95.0,998.0,30.3,-88.6,8.0,-0.8660254037844384,-0.5000000000000004,30.3,12.0,-10.0,0.0,0.0
90.0,998.0,30.6,-88.5,8.0,-0.8660254037844384,-0.5000000000000004,30.6,12.0,-10.0,0.0,0.0
80.0,998.0,30.7,-88.4,8.0,-0.8660254037844384,-0.5000000000000004,30.7,12.0,-20.0,0.0,0.0
